instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group
DIAGNQE[N=500],BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],BIPOP-CMA-ES,0.1,30,30,1.0,13237.933333333332,13404.5,500,large_101_500
DIAGNQE[N=500],BasinGraph,1e-05,30,30,1.0,3.0,3.0,500,large_101_500
DIAGNQE[N=500],BasinGraph,0.001,30,30,1.0,3.0,3.0,500,large_101_500
DIAGNQE[N=500],BasinGraph,0.1,30,30,1.0,3.0,3.0,500,large_101_500
DIAGNQE[N=500],CMA-ES,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],CMA-ES,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],CMA-ES,0.1,30,30,1.0,12987.333333333334,12967.5,500,large_101_500
DIAGNQE[N=500],Differential Evolution,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Differential Evolution,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Differential Evolution,0.1,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Latin Hypercube Sampling,0.1,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Multi-start L-BFGS-B,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Multi-start L-BFGS-B,0.1,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Random Search,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Random Search,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQE[N=500],Random Search,0.1,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],BIPOP-CMA-ES,0.1,30,30,1.0,14616.6,14578.5,500,large_101_500
DIAGNQT[N=500],BasinGraph,1e-05,30,30,1.0,3.0,3.0,500,large_101_500
DIAGNQT[N=500],BasinGraph,0.001,30,30,1.0,3.0,3.0,500,large_101_500
DIAGNQT[N=500],BasinGraph,0.1,30,30,1.0,3.0,3.0,500,large_101_500
DIAGNQT[N=500],CMA-ES,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],CMA-ES,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],CMA-ES,0.1,30,30,1.0,14318.166666666666,14073.0,500,large_101_500
DIAGNQT[N=500],Differential Evolution,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],Differential Evolution,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],Differential Evolution,0.1,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,500,large_101_500
DIAGNQT[N=500],Latin Hypercube Sampling,0.1,30,0,0.0,inf,,500,large_101_500
